parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
47818,68911,10,434,Libellula needhami
47818,104585,10,630,Libellula semifasciata
47818,104586,10,631,Libellula vibrans
47818,47934,10,650,Libellula luctuosa
47818,81495,10,663,Libellula pulchella
47818,104572,10,771,Libellula comanche
47818,104574,10,772,Libellula croceipennis
47818,104575,10,773,Libellula cyanea
47818,104580,10,774,Libellula incesta
47818,84369,10,811,Libellula forensis
47818,563098,10,813,Libellula depressa
47818,47817,10,844,Libellula saturata
47819,55712,20,,Ladona
55712,57458,10,12,Ladona julia
55712,103927,10,100,Ladona deplanata
47819,51556,20,,Sympetrum
51556,113502,10,79,Sympetrum costiferum
51556,113516,10,126,Sympetrum madidum
51556,113521,10,162,Sympetrum pallipes
51556,51555,10,303,Sympetrum illotum
51556,113514,10,719,Sympetrum internum
51556,68138,10,798,Sympetrum corruptum
51556,55625,10,800,Sympetrum striolatum
51556,68139,10,808,Sympetrum vicinum
51556,113498,10,860,Sympetrum ambiguum
51556,113503,10,861,Sympetrum danae
51556,113507,10,862,Sympetrum fonscolombii
51556,113519,10,867,Sympetrum obtrusum
51556,113525,10,869,Sympetrum sanguineum
51556,113526,10,870,Sympetrum semicinctum
47819,52864,20,,Tramea
52864,68229,10,99,Tramea carolina
52864,52865,10,468,Tramea lacerata
52864,114314,10,742,Tramea onusta
47819,50148,20,,Celithemis
50148,50147,10,103,Celithemis eponina
50148,63160,10,723,Celithemis elisa
50148,96907,10,839,Celithemis fasciata
47819,87959,20,,Diplacodes
87959,99331,10,107,Diplacodes trivialis
47819,50343,20,,Erythrodiplax
50343,50342,10,138,Erythrodiplax umbrata
50343,100391,10,258,Erythrodiplax berenice
50343,100403,10,259,Erythrodiplax minuscula
47819,88069,20,,Dythemis
88069,99641,10,164,Dythemis fugax
88069,99644,10,165,Dythemis nigrescens
88069,99647,10,166,Dythemis velox
47819,68234,20,,Orthemis
68234,107937,10,177,Orthemis discolor
68234,68233,10,347,Orthemis ferruginea
47819,62071,20,,Orthetrum
62071,107974,10,181,Orthetrum sabina
62071,62067,10,482,Orthetrum cancellatum
47819,90633,20,,Paltothemis
90633,108303,10,222,Paltothemis lineatipes
47819,55407,20,,Leucorrhinia
55407,104553,10,289,Leucorrhinia proxima
55407,104548,10,764,Leucorrhinia frigida
55407,104550,10,765,Leucorrhinia hudsonica
55407,104551,10,766,Leucorrhinia intacta
47819,59775,20,,Pachydiplax
59775,59774,10,306,Pachydiplax longipennis
47819,59777,20,,Perithemis
59777,59776,10,307,Perithemis tenera
59777,109161,10,339,Perithemis intensa
47819,68231,20,,Brachymesia
68231,68230,10,345,Brachymesia gravida
68231,95982,10,729,Brachymesia furcata
47819,52056,20,,Crocothemis
52056,52055,10,385,Crocothemis servilia
52056,85030,10,399,Crocothemis erythraea
47819,52585,20,,Pantala
52585,52584,10,445,Pantala hymenaea
52585,108344,10,929,Pantala flavescens
47819,53868,20,,Erythemis
53868,85408,10,450,Erythemis collocata
53868,61495,10,525,Erythemis simplicicollis
53868,53867,10,610,Erythemis plebeja
53868,55260,10,748,Erythemis vesiculosa
47819,91473,20,,Pseudoleon
91473,111055,10,592,Pseudoleon superbus
47819,87080,20,,Brechmorhoga
87080,96036,10,734,Brechmorhoga mendax
47819,89677,20,,Macrodiplax
89677,104993,10,825,Macrodiplax balteata
47819,89908,20,,Micrathyria
89908,105730,10,912,Micrathyria hagenii
47819,84550,20,,Plathemis
84550,84549,10,936,Plathemis lydia
47819,92658,20,,Trithemis
92658,114463,10,984,Trithemis annulata
1317176,61430,30,,Corduliidae
61430,61431,20,,Cordulia
61431,98430,10,15,Cordulia shurtleffii
61430,88028,20,,Dorocordulia
88028,99539,10,147,Dorocordulia libera
61430,88207,20,,Epitheca
88207,100210,10,241,Epitheca canis
88207,100215,10,242,Epitheca princeps
1317176,67722,30,,Macromiidae
67722,87941,20,,Didymops
87941,99283,10,102,Didymops transversa
67722,67729,20,,Macromia
67729,105034,10,828,Macromia illinoiensis
67729,105049,10,829,Macromia taeniolata
47927,1317177,33,,Cordulegastroidea
1317177,57448,30,,Cordulegastridae
57448,57449,20,,Cordulegaster
57449,98417,10,11,Cordulegaster diastatops
57449,62762,10,974,Cordulegaster dorsalis
47927,1317180,33,,Aeshnoidea
1317180,51469,30,,Aeshnidae
51469,52520,20,,Aeshna
52520,56082,10,71,Aeshna canadensis
52520,67726,10,268,Aeshna palmata
52520,67725,10,280,Aeshna interrupta
52520,93429,10,422,Aeshna constricta
52520,93437,10,424,Aeshna mixta
52520,67727,10,633,Aeshna umbrosa
52520,52519,10,688,Aeshna cyanea
51469,88192,20,,Epiaeschna
88192,100034,10,207,Epiaeschna heros
51469,51468,20,,Anax
51468,67731,10,269,Anax junius
51468,94045,10,830,Anax longipes
51468,94043,10,890,Anax imperator
51469,67735,20,,Rhionaeschna
67735,67737,10,272,Rhionaeschna multicolor
67735,67736,10,640,Rhionaeschna californica
51469,88572,20,,Gomphaeschna
88572,101640,10,430,Gomphaeschna furcillata
51469,86861,20,,Basiaeschna
86861,95422,10,671,Basiaeschna janata
51469,87045,20,,Boyeria
87045,95958,10,728,Boyeria vinosa
47927,1317178,33,,Gomphoidea
1317178,51128,30,,Gomphidae
51128,88045,20,,Dromogomphus
88045,99609,10,160,Dromogomphus spinosus
88045,99610,10,161,Dromogomphus spoliatus
51128,133815,20,,Gomphurus
133815,133814,10,437,Gomphurus vastus
51128,520941,20,,Phanogomphus
520941,520958,10,486,Phanogomphus exilis
520941,520959,10,504,Phanogomphus militaris
51128,91327,20,,Progomphus
91327,110625,10,579,Progomphus obscurus
51128,86631,20,,Arigomphus
86631,94624,10,586,Arigomphus submedianus
86631,94625,10,587,Arigomphus villosipes
51128,92298,20,,Stylurus
92298,113407,10,850,Stylurus plagiatus
51128,69806,20,,Octogomphus
69806,69805,10,905,Octogomphus specularis
51128,88242,20,,Erpetogomphus
88242,100369,10,959,Erpetogomphus designatus
51128,88693,20,,Hagenius
88693,102006,10,960,Hagenius brevistylus
47792,47928,37,,Zygoptera
47928,426081,33,,Coenagrionoidea
426081,47925,30,,Coenagrionidae
47925,90167,20,,Nehalennia
90167,106653,10,17,Nehalennia irene
47925,50175,20,,Enallagma
50175,50176,10,106,Enallagma vesperum
50175,99891,10,163,Enallagma aspersum
50175,99897,10,169,Enallagma civile
50175,99912,10,179,Enallagma geminatum
50175,99892,10,191,Enallagma basidens
50175,99895,10,192,Enallagma carunculatum
50175,99901,10,194,Enallagma cyathigerum
